2015509155;SGS;2
2017080059;YFR;5
2017878243;EJO;2
2016330496;SGS;3
2015352077;QOZ;2
2016330496;YFR;3
2016376019;QOZ;5
2017813257;QBZ;3
2015090767;SGS;3
2017167665;LJJ;2
2016413296;PZF;4
2015312816;YKM;5
2015086153;VGJ;4
2017641779;QOZ;2
2017059100;EJO;2
2015218676;QOZ;1
2016876924;QBZ;4
2015218676;QOZ;5
2017878243;EQP;4
2017059100;EJO;5
2017866945;CRR;4
2015090767;ROH;1
2017385759;ZHE;2
2017766568;IAO;4
2017548014;KGH;3
2016376019;VGJ;4
2017548014;KGH;3
2017698250;KGH;5
2017698250;KGH;5
2015509155;SGS;3
2015509155;YFR;3
2017619574;JZZ;2
2015659722;TPK;3
2017385759;ZHE;5
2017866945;INE;3
2015659722;TPK;2
2017385759;ZHE;5
2016303383;QBZ;3
2017059100;EQP;4
2016884885;DQU;3
2017878243;PZF;3
2015829894;VGJ;4
2015495489;BTT;2
2015956850;VGF;1
2017059100;EJO;5
2015239321;VGJ;1
2015707289;SGS;3
2017646860;KGH;3
2016884885;QOZ;1
2015239321;DQU;3
2016303383;YKM;3
2017195032;EQP;4
2016303383;BTT;2
2017385759;JZZ;2
2017551370;LJJ;1
2017898783;QBZ;4
2017641779;DQU;3
2015403889;EQP;4
2015829894;DQU;3
2015509155;HUM;2
2015659722;TPK;2
2015770705;YFR;5
2017195032;EJO;2
2017641779;DQU;3
2015770705;SGS;2
2016303383;VGF;1
2017698250;IAO;4
2017167665;TPK;1
2015352077;QOZ;1
2017167665;TPK;2
2015352077;VGJ;5
2017080059;SGS;2
2017866945;JZZ;2
2016478516;QOZ;5
2016884885;ZAS;2
2017813257;YKM;3
2017551370;LJJ;2
2016478516;DQU;2
2017183198;BTT;2
2017990864;TPK;2
2017766568;IAO;4
2017059100;PZF;3
2016303383;QBZ;3
2016303383;YKM;3
2017167665;RVS;3
2017550728;SZN;4
2015963919;TPK;2
2015095213;SGS;3
2017990864;TPK;2
2016330496;HUM;2
2015659722;TPK;2
2017551370;LJJ;2
2017766568;IAO;4
2017898783;BTT;2
2016245129;PZF;3
2017878243;PZF;3
2015661230;PZF;4
2015403889;PZF;3
2016155325;CRR;4
2016413296;EQP;4
2015707289;SGS;2
2017548014;IAO;4
2017548014;KGH;5
2017059100;EJO;5
2016047258;SGS;2
2017167665;TPK;2
2015661230;PZF;3
2016330496;HUM;2
2016303383;VGF;1
2015806106;VGJ;5
2016245129;PZF;4
2017766568;KGH;5
2015844497;YFR;5
2017385759;ZHE;5
2017551370;LJJ;3
2016482487;LJJ;3
2017385759;MUM;4
2016478516;DQU;2
2017766568;KGH;5
2017641779;DQU;3
2015661230;PZF;4
2015495489;QBZ;4
2015707289;YFR;1
2016155325;CRR;4
2015770705;YFR;3
2017698250;IAO;4
2015239321;ZAS;1
2017641779;DQU;3
2015495489;VGF;1
2015829894;ZAS;1
2016303383;BTT;2
2017878243;EQP;4
2016303383;YKM;3
2016222004;LJJ;3
2017866945;INE;5
2016303383;YKM;5
2017080059;YFR;5
2015509155;ROH;1
2017167665;TPK;3
2017878243;EQP;4
2016222004;LJJ;1
2015235128;ZHE;2
2015829894;QOZ;5
2017433799;ZHE;2
