2017300536;QOZ;5;1
2017698250;BGG;1;1
2015963919;TPK;2;3
2017878243;PZF;4;1
2016376019;ZAS;1;2
2017548014;SZN;4;2
2017195032;EJO;1;1
2017059100;EQP;4;2
2015745472;KGH;5;2
2015218676;QOZ;1;3
2016330496;SGS;2;1
2016047258;ROH;1;1
2017698250;KGH;5;2
2015218676;DQU;3;1
2017195032;EQP;4;3
2016222004;LJJ;3;1
2017646860;IAO;4;3
2017878243;PZF;3;1
2017385759;ZHE;5;1
2015495489;VGF;1;1
2017550728;KGH;5;2
2017998393;LJJ;1;1
2015090767;YFR;1;3
2015806106;QOZ;2;2
2015770705;SGS;2;2
2015235128;CRR;4;1
2017813257;VGF;1;3
2015372505;HUM;2;2
2016482487;LJJ;1;3
2017195032;EJO;5;3
2017300536;VGJ;1;1
2015661230;PZF;4;1
2015090767;ROH;1;3
2017385759;JZZ;2;3
2017385759;JZZ;2;1
2015509155;SGS;3;1
2015829894;QOZ;3;2
2017550728;BGG;1;2
2015289347;DQU;3;3
2015289347;DQU;3;2
2015509155;SGS;2;3
2017550728;IAO;4;1
2015495489;BTT;2;1
2016482487;TPK;2;2
2016245129;EJO;5;2
2016376019;QOZ;3;1
2015235128;INE;3;1
2015659722;LJJ;2;1
2015844497;YFR;5;2
2017300536;DQU;2;1
2016222004;LJJ;1;1
2015095213;SGS;2;1
2016376019;VGJ;5;2
2017550728;KGH;5;3
2017646860;IAO;4;2
2016222004;TPK;1;3
2016586850;YKM;5;3
2015495489;YKM;3;2
2017167665;LJJ;2;3
2017698250;BGG;1;2
2016478516;VGJ;1;3
2016155325;ZHE;5;2
2015095213;SGS;2;2
2016884885;ZAS;1;3
2017183198;QBZ;3;3
2016047258;SGS;2;2
2015844497;SGS;3;2
2017766568;BGG;1;1
2015403889;PZF;4;3
2017766568;BGG;1;1
2015090767;YFR;3;3
2016303383;BTT;2;2
2015659722;LJJ;1;1
2017059100;EQP;4;3
2016303383;YKM;3;1
2015289347;QOZ;3;2
2015770705;SGS;2;1
2017698250;SZN;4;2
2016330496;ROH;1;2
2017898783;VGF;1;3
2017619574;INE;5;3
2017300536;QOZ;5;3
2015707289;SGS;2;3
2017813257;YKM;5;3
2015963919;RVS;3;2
2015218676;ZAS;1;1
2016376019;QOZ;5;1
2015289347;DQU;2;1
2015806106;VGJ;4;3
2016242814;KGH;5;3
2016245129;PZF;3;3
2016478516;DQU;2;1
2017385759;ZHE;5;2
2015352077;VGJ;1;2
2015770705;SGS;3;1
2017551370;TPK;3;1
2015806106;QOZ;1;1
2017878243;EJO;1;2
2017866945;INE;3;1
2016245129;EJO;5;3
2015090767;HUM;2;2
2015829894;ZAS;1;3
2016413296;EJO;5;2
2016413296;PZF;4;1
2015829894;ZAS;2;3
2015312816;VGF;1;2
2016245129;EJO;1;3
2017813257;QBZ;3;1
2017167665;LJJ;1;3
2017080059;YFR;5;2
2017998393;TPK;2;1
2017183198;QBZ;3;2
2017195032;EQP;4;3
2016303383;BTT;2;2
2015659722;TPK;3;2
2016047258;YFR;3;2
2016482487;LJJ;1;1
2016303383;YKM;3;2
2015659722;TPK;3;2
2016222004;RVS;3;3
2015095213;SGS;3;3
2015095213;SGS;2;3
2016242814;BGG;1;1
2015086153;QOZ;3;2
2017300536;VGJ;4;3
2017183198;YKM;5;2
2015829894;DQU;2;2
2017898783;YKM;5;2
2015661230;EJO;2;3
2016413296;EJO;1;3
2015956850;VGF;1;3
2016245129;EJO;5;1
2017990864;TPK;1;1
2016155325;ZHE;2;2
2017866945;ZHE;2;1
2015770705;YFR;5;2
2016303383;VGF;1;2
2015312816;VGF;1;2
2015956850;VGF;1;3
2017898783;BTT;2;3
2015218676;VGJ;5;1
2017550728;KGH;3;2
2017550728;SZN;4;3
2017990864;TPK;2;1
2015218676;ZAS;2;1
2017300536;ZAS;1;3
2017878243;EQP;4;2
2016242814;KGH;5;3
2016303383;YKM;3;1
2016222004;TPK;3;3
2017080059;SGS;3;2
2017080059;ROH;5;3
2016155325;CRR;2;1
2015659722;RVS;3;1
2017698250;KGH;3;1
2017766568;BGG;1;3
2015086153;ZAS;1;1
2016222004;LJJ;2;1
2017998393;RVS;3;2
2016330496;YFR;3;2
2015239321;VGJ;4;1
2017551370;LJJ;3;2
2015844497;YFR;5;1
2017551370;TPK;3;2
2016245129;PZF;3;3
2017866945;CRR;4;1
2015963919;LJJ;3;2
2017766568;BGG;1;2
2016242814;BGG;1;2
2017641779;VGJ;5;1
2016245129;PZF;3;2
2017385759;ZHE;2;2
2016884885;VGJ;1;3
2016478516;VGJ;1;1
2015090767;SGS;2;3
2016303383;BTT;2;1
2015806106;VGJ;1;1
2015509155;ROH;1;2
2015352077;ZAS;1;1
2017300536;VGJ;5;3
